class_standing,task_score_1,task_score_2,task_score_3,task_score_4,task_score_5,prelim_grade,midterm_grade,min_exam_score_required,predicted_category,actual_exam_score,actual_outcome,prediction_correct,error_type,risk_label,attendance_rate
3rd Year,67.9,82.1,59.8,62.8,75.2,71.0,61.3,91.4,Achievable target,100.0,Pass,True,,High,50.9
1st Year,84.7,87.9,65.6,84.4,64.2,73.5,68.0,80.8,Achievable target,70.6,Fail,True,,High,58.0
1st Year,94.8,60.1,88.9,65.7,97.0,62.6,55.4,91.4,Achievable target,100.0,Pass,True,,High,57.2
1st Year,80.3,61.5,67.3,82.5,85.7,54.8,61.2,88.6,Achievable target,100.0,Pass,True,,High,68.4
4th Year,72.6,73.9,82.3,74.9,58.3,85.1,84.4,66.9,Achievable target,80.5,Pass,True,,Low,84.6
2nd Year,63.9,76.2,87.6,92.3,82.5,93.9,69.7,77.5,Achievable target,75.6,Pass,True,,High,47.3
3rd Year,76.8,82.2,65.6,71.6,63.8,73.1,89.6,61.9,Achievable target,58.7,Fail,True,,Low,81.2
3rd Year,58.8,77.3,75.6,81.4,79.8,55.0,70.2,80.0,Achievable target,82.9,Pass,True,,High,52.4
3rd Year,76.2,79.9,72.9,78.2,64.9,60.6,70.7,79.6,Achievable target,71.6,Fail,True,,High,62.8
1st Year,77.7,81.2,65.6,74.0,66.1,73.7,77.4,73.6,Achievable target,69.0,Fail,True,,Medium,73.7
4th Year,67.2,60.2,88.2,85.9,79.7,82.2,50.0,99.4,Achievable target,100.0,Pass,True,,High,56.0
2nd Year,96.5,71.2,100.0,70.7,76.4,56.1,73.1,72.9,Achievable target,84.4,Pass,True,,High,64.0
3rd Year,68.7,77.8,83.2,72.1,94.2,67.2,70.6,77.3,Achievable target,71.8,Fail,True,,High,52.8
3rd Year,76.2,76.6,62.8,78.3,71.8,70.5,85.7,65.2,Achievable target,77.0,Pass,True,,High,55.9
3rd Year,66.3,64.3,100.0,70.3,56.4,77.3,80.6,71.2,Achievable target,80.7,Pass,True,,Low,84.9
4th Year,65.2,72.8,79.8,79.9,81.3,65.0,60.0,89.6,Achievable target,100.0,Pass,True,,High,69.2
1st Year,65.9,77.4,63.2,66.2,62.7,52.5,83.3,70.7,Achievable target,81.4,Pass,True,,Medium,70.3
2nd Year,59.5,85.9,81.5,84.8,73.9,74.8,68.5,80.4,Achievable target,96.0,Pass,True,,High,54.2
2nd Year,82.5,52.8,83.5,75.5,80.7,80.0,62.2,87.8,Achievable target,97.6,Pass,True,,High,48.6
2nd Year,77.8,61.9,55.9,65.1,80.0,67.7,73.0,80.4,Achievable target,95.2,Pass,True,,High,62.5
1st Year,81.5,57.4,61.9,64.9,69.2,72.6,69.1,84.9,Achievable target,77.0,Pass,True,,High,52.3
1st Year,57.5,56.8,63.8,74.4,59.6,63.7,86.2,70.1,Achievable target,73.9,Fail,True,,Medium,73.4
1st Year,72.0,85.8,58.2,71.0,85.4,59.9,74.4,75.9,Achievable target,80.5,Pass,True,,High,41.8
2nd Year,68.5,66.7,87.0,69.8,86.3,79.0,73.1,76.6,Achievable target,79.2,Pass,True,,High,65.3
2nd Year,78.4,69.4,79.0,77.1,85.3,72.5,79.9,68.7,Achievable target,78.1,Pass,True,,Low,77.3
3rd Year,67.0,73.9,72.7,81.6,61.4,73.5,81.8,70.0,Achievable target,81.3,Pass,True,,Low,80.1
3rd Year,85.3,78.9,58.0,87.5,99.5,83.8,78.8,67.8,Achievable target,76.7,Pass,True,,Low,89.3
2nd Year,85.1,90.1,74.4,54.0,51.8,57.7,85.0,67.0,Achievable target,70.2,Fail,True,,Low,77.3
2nd Year,76.4,66.5,62.7,72.7,80.6,62.9,77.1,74.5,Achievable target,72.1,Fail,True,,High,56.4
1st Year,56.4,68.1,91.1,60.8,83.6,70.1,72.7,78.8,Achievable target,94.8,Pass,True,,High,57.6
3rd Year,67.7,79.8,86.2,82.1,84.0,62.7,83.2,64.3,Achievable target,72.8,Fail,True,,Low,79.0
2nd Year,59.9,86.4,63.4,76.4,76.4,76.5,70.2,81.0,Achievable target,75.8,Pass,True,,High,67.7
1st Year,79.1,77.3,63.5,57.6,83.6,66.6,71.4,80.0,Achievable target,83.1,Pass,True,,High,69.0
2nd Year,75.6,86.8,72.9,57.0,84.7,58.4,88.0,61.8,Achievable target,50.0,Fail,True,,Medium,58.0
2nd Year,69.1,77.4,65.8,92.6,63.1,69.2,87.0,63.7,Achievable target,69.1,Fail,True,,Low,76.8
1st Year,69.5,74.7,60.6,77.3,92.3,70.2,71.0,79.1,Achievable target,82.1,Pass,True,,High,63.5
3rd Year,67.7,78.0,50.0,72.9,69.7,78.0,66.7,87.0,Achievable target,86.3,Pass,True,,High,46.6
3rd Year,63.8,86.1,69.6,71.3,69.0,72.5,85.4,66.1,Achievable target,86.9,Pass,True,,High,53.9
3rd Year,51.0,60.2,84.6,50.0,64.4,73.2,78.9,77.6,Achievable target,71.0,Fail,True,,Medium,71.9
3rd Year,68.7,93.8,82.4,66.9,88.7,71.8,74.2,73.2,Achievable target,85.3,Pass,True,,High,62.5
3rd Year,64.7,85.2,57.5,86.0,68.6,66.6,67.9,83.4,Achievable target,100.0,Pass,True,,High,55.2
2nd Year,61.4,70.9,76.6,67.6,79.9,61.2,74.4,77.5,Achievable target,93.3,Pass,True,,High,57.8
3rd Year,66.6,80.7,78.6,72.7,68.2,71.4,70.9,79.9,Achievable target,84.6,Pass,True,,High,50.8
2nd Year,75.2,79.8,97.5,84.4,84.8,65.1,64.6,80.7,Achievable target,74.4,Fail,True,,High,67.3
2nd Year,100.0,79.4,79.1,81.6,61.6,85.7,72.4,74.9,Achievable target,66.3,Fail,True,,High,53.0
3rd Year,68.2,67.5,81.0,71.4,75.0,82.2,73.7,77.5,Achievable target,78.4,Pass,True,,High,59.7
2nd Year,86.1,83.5,71.5,65.6,86.7,75.0,67.4,80.8,Achievable target,78.9,Pass,True,,High,52.9
2nd Year,82.5,54.6,69.7,75.3,82.5,72.4,80.0,71.0,Achievable target,68.8,Fail,True,,Low,84.5
3rd Year,84.0,76.7,80.2,74.2,65.5,67.6,83.7,65.7,Achievable target,67.4,Fail,True,,Low,83.2
4th Year,70.3,73.6,73.0,51.3,68.7,55.6,80.6,73.2,Achievable target,77.2,Pass,True,,Medium,69.9
4th Year,74.1,70.1,70.5,79.1,60.8,66.3,68.4,83.6,Achievable target,93.5,Pass,True,,High,48.9
2nd Year,54.4,69.3,82.3,93.1,82.6,69.5,78.5,70.8,Achievable target,63.4,Fail,True,,Low,88.0
2nd Year,56.2,70.7,76.4,75.5,79.7,70.8,71.9,79.7,Achievable target,77.9,Pass,True,,Medium,80.9
3rd Year,62.7,74.2,78.3,83.1,64.0,73.3,59.0,92.3,Achievable target,95.7,Pass,True,,High,58.9
2nd Year,69.4,50.0,66.1,67.3,61.5,77.9,77.7,78.4,Achievable target,81.4,Pass,True,,Medium,76.1
4th Year,75.3,72.7,50.0,75.9,62.5,61.4,72.5,81.4,Achievable target,100.0,Pass,True,,Medium,76.9
2nd Year,79.1,58.4,73.8,70.1,76.9,61.5,92.0,59.7,Achievable target,67.0,Fail,True,,Low,88.6
1st Year,74.9,70.4,55.4,56.1,66.6,83.3,85.4,69.8,Achievable target,58.7,Fail,True,,Medium,73.1
1st Year,73.3,66.3,80.7,70.1,62.1,76.4,78.1,74.2,Achievable target,83.4,Pass,True,,Low,85.1
4th Year,70.1,76.0,77.2,95.4,65.6,64.5,73.5,75.6,Achievable target,86.1,Pass,True,,High,63.9
1st Year,72.5,78.4,73.1,67.5,55.3,67.4,72.7,80.1,Achievable target,83.8,Pass,True,,High,57.6
2nd Year,67.4,60.8,53.2,64.1,61.1,67.5,61.3,95.5,Achievable target,88.4,Pass,True,,Low,79.1
2nd Year,80.2,80.4,62.8,70.4,51.7,68.8,54.1,98.8,Achievable target,100.0,Pass,True,,Low,84.1
1st Year,67.6,78.1,83.1,65.1,85.7,73.3,62.5,87.0,Achievable target,81.3,Pass,True,,High,41.9
2nd Year,55.7,58.8,81.7,93.0,79.2,94.4,70.6,80.1,Achievable target,91.7,Pass,True,,High,57.0
3rd Year,72.9,50.0,50.0,74.9,69.2,70.4,50.5,105.3,Cannot pass,74.7,Fail,True,,High,60.3
1st Year,60.5,74.2,74.7,84.4,75.0,75.3,65.8,84.8,Achievable target,95.8,Pass,True,,High,66.9
3rd Year,87.8,73.5,72.1,85.9,62.0,51.3,68.7,80.7,Achievable target,100.0,Pass,True,,High,58.2
4th Year,100.0,77.8,77.9,79.5,95.4,63.6,69.0,75.4,Achievable target,86.0,Pass,True,,High,64.4
2nd Year,82.7,54.6,89.8,69.4,74.7,81.0,64.6,85.8,Achievable target,85.2,Pass,True,,High,57.0
1st Year,58.4,79.6,65.8,74.6,70.1,72.6,67.8,84.8,Achievable target,100.0,Pass,True,,High,48.8
3rd Year,95.9,96.6,73.9,74.1,69.0,50.0,88.0,58.5,Achievable target,57.2,Fail,True,,Medium,61.1
1st Year,86.3,69.6,68.5,84.8,67.1,75.4,77.6,72.3,Achievable target,78.9,Pass,True,,Low,79.2
2nd Year,73.0,54.9,81.6,96.1,81.8,88.1,65.6,83.2,Achievable target,75.3,Pass,True,,High,46.1
4th Year,90.5,63.5,76.2,62.4,70.7,50.0,70.4,80.8,Achievable target,75.5,Pass,True,,High,62.1
4th Year,82.4,74.6,56.9,58.0,57.2,84.0,70.8,83.8,Achievable target,89.3,Pass,True,,High,55.3
3rd Year,79.1,97.5,89.3,51.2,90.0,50.0,63.6,83.2,Achievable target,91.9,Pass,True,,High,61.6
2nd Year,84.4,55.3,69.9,86.2,79.8,78.1,63.6,86.3,Achievable target,74.3,Fail,True,,High,57.6
3rd Year,58.1,80.5,50.0,70.8,86.7,68.4,81.0,71.9,Achievable target,81.9,Pass,True,,Medium,78.3
3rd Year,73.6,67.6,83.8,84.8,88.7,50.0,67.0,80.6,Achievable target,77.4,Pass,True,,High,65.5
2nd Year,83.6,86.1,82.0,76.5,74.4,73.1,60.4,86.8,Achievable target,100.0,Pass,True,,High,51.8
3rd Year,70.6,59.2,62.2,70.1,76.2,80.2,70.7,83.0,Achievable target,84.5,Pass,True,,High,54.8
1st Year,90.3,72.9,85.1,86.0,70.7,72.2,72.3,74.7,Achievable target,68.5,Fail,True,,High,52.7
1st Year,80.4,70.6,88.9,80.8,59.5,74.5,51.8,97.7,Achievable target,100.0,Pass,True,,High,44.0
2nd Year,75.3,92.7,71.3,78.6,79.8,64.3,70.7,77.0,Achievable target,72.8,Fail,True,,High,62.4
1st Year,61.3,79.4,57.1,66.1,86.0,50.0,79.6,72.9,Achievable target,90.6,Pass,True,,Medium,79.3
1st Year,77.6,69.8,78.6,72.7,73.5,75.6,75.5,74.8,Achievable target,79.8,Pass,True,,Low,84.0
4th Year,81.1,64.9,73.9,69.7,54.8,86.3,92.0,61.1,Achievable target,64.6,Fail,True,,Medium,67.5
4th Year,62.6,91.7,77.9,57.9,55.4,80.0,83.4,69.5,Achievable target,80.4,Pass,True,,Low,89.5
2nd Year,72.1,91.7,71.2,88.7,77.5,50.0,85.3,62.1,Achievable target,57.1,Fail,True,,Low,75.0
4th Year,78.9,57.8,84.4,69.5,83.5,53.0,92.0,58.1,Achievable target,50.2,Fail,True,,High,58.4
4th Year,63.9,75.5,77.5,71.6,78.1,59.9,78.5,72.3,Achievable target,81.4,Pass,True,,Medium,72.0
1st Year,70.3,65.8,92.2,85.7,64.5,52.3,72.7,77.0,Achievable target,71.0,Fail,True,,High,52.4
2nd Year,80.1,64.7,59.5,85.5,53.5,69.0,80.6,72.6,Achievable target,66.6,Fail,True,,Medium,80.7
2nd Year,84.2,70.4,70.9,78.2,80.2,72.5,65.6,83.5,Achievable target,96.9,Pass,True,,High,64.8
1st Year,63.7,81.8,74.7,58.7,71.4,53.9,72.2,80.3,Achievable target,90.6,Pass,True,,High,54.9
3rd Year,89.6,93.0,81.8,59.5,79.1,76.4,64.8,82.4,Achievable target,74.9,Fail,True,,High,56.3
2nd Year,83.4,81.9,82.6,77.7,72.6,74.6,75.0,72.7,Achievable target,71.5,Fail,True,,Low,82.1
2nd Year,66.3,51.2,77.4,75.6,79.9,62.9,64.7,87.8,Achievable target,83.8,Pass,True,,High,52.9
1st Year,57.8,80.9,97.4,74.3,72.7,66.7,64.4,84.8,Achievable target,100.0,Pass,True,,High,46.5
1st Year,77.0,97.2,61.4,75.8,64.0,50.0,75.2,74.8,Achievable target,88.9,Pass,True,,Medium,80.7
4th Year,67.0,72.8,89.2,94.5,78.6,65.1,69.8,77.5,Achievable target,78.3,Pass,True,,High,65.2
1st Year,69.0,100.0,68.4,66.7,52.6,68.6,52.2,99.6,Achievable target,100.0,Pass,True,,High,63.4
1st Year,89.7,84.7,100.0,57.1,90.5,70.2,56.8,88.5,Achievable target,79.9,Pass,True,,High,48.2
2nd Year,74.2,82.8,54.1,90.6,82.6,72.4,59.9,89.2,Achievable target,87.5,Pass,True,,High,73.0
2nd Year,72.9,80.9,64.4,66.6,68.0,71.0,62.4,89.8,Achievable target,95.8,Pass,True,,High,72.8
3rd Year,51.7,83.5,87.3,65.2,77.5,65.8,75.2,75.8,Achievable target,85.3,Pass,True,,Medium,72.3
2nd Year,70.3,77.2,66.1,63.1,85.7,71.4,73.2,78.1,Achievable target,82.1,Pass,True,,High,49.8
1st Year,72.7,97.1,73.9,62.6,87.8,78.7,81.5,66.6,Achievable target,74.1,Fail,True,,Medium,64.9
1st Year,80.8,81.9,87.3,65.8,71.9,67.5,78.5,70.2,Achievable target,76.0,Pass,True,,Low,86.1
4th Year,71.4,58.3,70.3,89.0,76.2,71.7,81.6,69.4,Achievable target,72.8,Fail,True,,Low,79.4
3rd Year,57.7,55.2,92.9,72.3,65.8,66.6,77.1,76.0,Achievable target,78.0,Pass,True,,Medium,70.8
3rd Year,70.2,56.1,90.1,68.8,89.4,61.9,73.2,76.8,Achievable target,77.5,Pass,True,,Medium,78.6
3rd Year,74.0,90.1,76.4,83.4,81.8,73.8,81.9,65.0,Achievable target,72.3,Fail,True,,Low,76.5
3rd Year,80.7,77.5,70.7,95.8,62.8,62.8,80.1,68.6,Achievable target,77.7,Pass,True,,Low,94.0
1st Year,73.5,73.6,78.1,68.4,77.1,72.4,74.8,75.6,Achievable target,82.6,Pass,True,,Medium,82.0
2nd Year,71.4,54.9,73.5,60.5,53.1,68.8,83.6,72.6,Achievable target,65.8,Fail,True,,High,47.1
2nd Year,75.0,79.1,79.6,80.0,50.8,65.4,50.0,101.0,Cannot pass,53.4,Fail,True,,High,45.7
2nd Year,57.5,96.5,61.1,80.5,65.4,65.2,68.3,83.1,Achievable target,92.1,Pass,True,,High,54.7
4th Year,74.3,66.0,80.0,75.0,68.2,63.3,68.1,83.1,Achievable target,100.0,Pass,True,,Medium,63.8
2nd Year,61.1,76.5,59.2,78.4,100.0,51.7,82.4,67.6,Achievable target,74.1,Fail,True,,High,54.9
3rd Year,89.2,81.8,72.4,50.7,57.9,72.4,86.5,65.8,Achievable target,66.7,Fail,True,,Low,75.0
4th Year,88.4,64.2,65.2,71.5,61.0,70.9,56.9,95.6,Achievable target,100.0,Pass,True,,High,55.2
2nd Year,59.0,72.8,63.0,64.7,64.3,77.2,84.9,70.2,Achievable target,63.8,Fail,True,,Medium,83.6
4th Year,79.5,70.7,71.3,80.4,71.7,63.1,59.6,90.5,Achievable target,100.0,Pass,True,,Medium,63.2
3rd Year,70.1,78.9,81.2,71.7,74.3,87.8,59.9,90.0,Achievable target,96.9,Pass,True,,High,54.8
4th Year,64.3,63.3,82.4,78.6,78.7,64.6,68.8,82.0,Achievable target,80.3,Pass,True,,High,45.1
2nd Year,76.7,73.9,81.5,84.3,84.1,59.6,68.0,79.4,Achievable target,82.7,Pass,True,,High,62.1
2nd Year,72.2,89.6,76.1,80.8,76.7,58.4,55.8,92.2,Achievable target,91.9,Pass,True,,High,55.2
2nd Year,76.3,64.8,81.6,100.0,69.0,50.8,77.5,70.8,Achievable target,88.9,Pass,True,,Medium,84.0
1st Year,74.2,68.2,67.7,91.5,65.5,84.1,77.8,73.0,Achievable target,76.0,Pass,True,,Low,85.0
2nd Year,67.9,54.8,64.5,53.4,80.8,82.5,81.4,74.0,Achievable target,80.6,Pass,True,,Medium,68.4
4th Year,100.0,69.1,53.9,83.9,64.9,74.6,66.9,83.4,Achievable target,94.1,Pass,True,,High,61.4
3rd Year,88.6,70.1,66.0,71.3,82.3,59.4,70.7,79.0,Achievable target,76.6,Pass,True,,High,53.0
1st Year,70.7,67.6,71.1,58.5,78.0,87.0,70.8,82.1,Achievable target,89.0,Pass,True,,High,46.3
2nd Year,52.5,68.2,82.3,76.9,80.3,64.9,87.6,63.9,Achievable target,71.6,Fail,True,,Low,85.5
1st Year,72.6,87.1,84.2,78.6,84.3,65.8,50.0,96.8,Achievable target,86.3,Pass,True,,High,55.6
1st Year,82.2,68.3,57.7,78.3,79.8,83.2,61.7,89.2,Achievable target,96.7,Pass,True,,High,58.3
4th Year,86.2,62.4,62.8,78.8,72.6,75.2,71.2,80.0,Achievable target,84.5,Pass,True,,High,60.0
2nd Year,51.3,77.8,51.7,62.3,89.2,91.0,60.5,93.8,Achievable target,100.0,Pass,True,,High,52.9
2nd Year,94.8,59.2,69.5,73.9,94.2,71.0,68.6,79.7,Achievable target,85.1,Pass,True,,High,60.4
3rd Year,67.6,67.8,91.5,69.0,81.8,64.5,69.9,79.8,Achievable target,87.4,Pass,True,,High,70.9
1st Year,56.1,71.4,54.0,61.1,83.2,62.3,64.7,90.2,Achievable target,100.0,Pass,True,,High,48.1
1st Year,72.8,69.7,64.6,70.8,76.9,50.0,71.7,80.3,Achievable target,73.5,Fail,True,,High,70.9
3rd Year,84.9,50.0,63.7,75.3,72.2,65.7,77.3,75.6,Achievable target,77.2,Pass,True,,Medium,69.3
3rd Year,78.1,76.5,69.8,67.2,70.5,80.2,68.8,82.5,Achievable target,94.2,Pass,True,,High,50.9
4th Year,86.8,64.8,72.7,75.5,91.7,74.6,66.7,81.6,Achievable target,91.4,Pass,True,,Medium,84.0
3rd Year,69.9,84.6,87.8,72.7,70.9,68.7,69.5,79.4,Achievable target,89.0,Pass,True,,Medium,72.1
2nd Year,69.6,70.4,83.4,76.1,76.2,58.4,71.0,78.9,Achievable target,100.0,Pass,True,,High,68.0
3rd Year,60.2,62.1,98.5,71.3,64.3,70.8,54.0,97.9,Achievable target,100.0,Pass,True,,High,63.5
4th Year,90.1,76.7,80.2,71.8,69.7,78.8,75.6,73.1,Achievable target,89.4,Pass,True,,Low,75.6
3rd Year,71.4,57.2,72.4,76.9,95.1,72.9,66.7,83.5,Achievable target,85.4,Pass,True,,High,58.0
4th Year,74.4,50.0,72.3,100.0,83.5,70.2,83.5,66.0,Achievable target,61.1,Fail,True,,Low,81.4
3rd Year,63.9,80.3,64.7,57.6,69.3,60.4,76.9,77.0,Achievable target,78.9,Pass,True,,Medium,61.6
4th Year,74.5,51.5,60.0,73.5,68.6,77.3,82.6,72.1,Achievable target,84.2,Pass,True,,High,42.8
1st Year,78.0,59.2,81.8,59.6,92.6,50.0,61.2,89.2,Achievable target,98.3,Pass,True,,High,57.8
3rd Year,53.3,60.6,78.3,92.9,77.1,72.4,67.5,83.8,Achievable target,92.8,Pass,True,,Medium,75.1
2nd Year,80.0,73.6,61.4,67.7,59.2,94.7,58.9,94.4,Achievable target,97.3,Pass,True,,Low,86.0
2nd Year,58.4,78.1,60.3,77.1,58.2,53.1,64.2,90.1,Achievable target,91.4,Pass,True,,High,54.6
3rd Year,76.9,67.7,89.9,77.2,87.9,66.0,83.4,64.1,Achievable target,67.3,Fail,True,,Low,80.0
4th Year,64.6,74.1,61.9,68.6,70.3,68.4,85.7,67.8,Achievable target,80.0,Pass,True,,Medium,64.1
4th Year,64.9,59.2,56.9,50.0,61.0,63.8,59.8,98.5,Achievable target,100.0,Pass,True,,High,52.6
2nd Year,80.7,54.7,57.4,94.4,66.0,79.1,66.6,85.6,Achievable target,80.5,Pass,True,,High,48.7
3rd Year,77.2,80.9,81.2,55.6,70.7,73.3,70.4,80.5,Achievable target,93.1,Pass,True,,High,55.4
3rd Year,54.5,100.0,54.7,61.1,61.2,70.1,76.8,77.6,Achievable target,76.1,Pass,True,,Medium,70.8
2nd Year,55.9,89.2,100.0,67.8,58.0,76.6,53.9,96.5,Achievable target,100.0,Pass,True,,High,49.8
1st Year,50.0,70.5,69.7,65.8,76.0,68.7,55.4,98.9,Achievable target,100.0,Pass,True,,High,55.1
1st Year,78.0,77.2,69.7,60.5,81.2,95.0,75.9,74.9,Achievable target,95.6,Pass,True,,Low,80.2
3rd Year,73.5,83.8,82.6,56.8,56.6,70.0,52.0,100.2,Cannot pass,65.8,Fail,True,,High,57.0
2nd Year,64.6,61.0,82.2,77.5,86.3,70.5,66.7,83.6,Achievable target,90.4,Pass,True,,Low,86.5
4th Year,78.0,75.8,87.4,78.9,74.2,51.1,72.7,75.4,Achievable target,86.5,Pass,True,,High,58.4
2nd Year,90.7,74.7,69.8,63.6,81.6,63.0,75.2,74.3,Achievable target,70.6,Fail,True,,Medium,74.3
4th Year,87.9,72.8,88.7,50.4,72.8,80.2,69.7,80.5,Achievable target,84.8,Pass,True,,Low,75.7
2nd Year,72.9,64.9,100.0,72.6,68.6,54.9,67.5,82.1,Achievable target,84.4,Pass,True,,High,54.0
3rd Year,73.7,50.0,64.5,84.9,66.0,50.0,79.4,74.2,Achievable target,74.1,Fail,True,,High,59.2
1st Year,63.7,88.7,89.1,79.4,68.1,68.8,73.9,74.7,Achievable target,75.3,Pass,True,,High,62.1
2nd Year,70.6,64.0,61.8,61.2,66.2,82.5,64.8,90.3,Achievable target,100.0,Pass,True,,High,44.2
3rd Year,61.3,55.1,76.0,76.1,93.3,68.9,71.5,79.8,Achievable target,78.8,Pass,True,,High,58.3
4th Year,65.6,76.9,77.1,70.4,82.1,65.1,74.9,75.4,Achievable target,86.1,Pass,True,,High,66.7
3rd Year,82.5,77.2,70.4,69.2,57.4,50.0,87.9,63.9,Achievable target,72.0,Fail,True,,Medium,69.7
1st Year,64.0,66.1,60.2,78.5,87.4,73.1,78.8,73.1,Achievable target,64.1,Fail,True,,Low,83.5
2nd Year,62.8,76.7,61.3,69.8,65.3,75.2,83.0,70.9,Achievable target,81.1,Pass,True,,Medium,74.2
1st Year,80.4,65.5,85.2,70.5,65.8,50.3,65.1,85.7,Achievable target,76.6,Pass,True,,Low,85.2
1st Year,58.7,76.4,83.9,76.6,99.6,80.1,66.0,82.0,Achievable target,93.3,Pass,True,,High,62.4
3rd Year,90.1,69.8,69.7,78.9,63.6,76.3,68.8,81.5,Achievable target,81.4,Pass,True,,High,57.6
3rd Year,87.0,77.6,76.4,81.4,93.6,80.0,69.7,76.2,Achievable target,81.3,Pass,True,,High,58.2
3rd Year,75.4,72.1,91.1,84.7,69.6,74.5,61.2,87.0,Achievable target,79.1,Pass,True,,High,50.7
4th Year,73.5,75.7,77.6,57.5,55.4,75.2,83.5,70.0,Achievable target,76.2,Pass,True,,Medium,69.8
3rd Year,63.0,62.1,65.9,80.8,71.4,73.8,79.8,73.4,Achievable target,87.7,Pass,True,,Medium,79.8
3rd Year,75.7,59.1,68.0,80.3,80.4,77.4,68.1,83.1,Achievable target,80.0,Pass,True,,High,55.4
1st Year,64.9,75.3,99.1,73.2,65.3,50.0,77.4,72.3,Achievable target,71.2,Fail,True,,Medium,69.8
1st Year,71.4,74.5,71.6,73.0,56.5,53.2,73.3,79.5,Achievable target,89.0,Pass,True,,High,53.1
3rd Year,62.1,71.7,71.5,66.8,71.3,61.0,78.2,75.0,Achievable target,84.8,Pass,True,,Medium,76.5
4th Year,74.1,83.8,72.2,78.1,67.1,67.2,57.9,92.1,Achievable target,72.8,Fail,True,,High,50.2
1st Year,80.1,77.8,83.5,81.7,80.3,72.5,69.7,77.5,Achievable target,100.0,Pass,True,,High,64.3
2nd Year,72.2,76.3,85.8,65.8,66.0,71.8,70.5,80.4,Achievable target,90.7,Pass,True,,High,49.5
3rd Year,75.5,78.3,63.8,72.5,72.3,79.9,77.2,74.1,Achievable target,86.1,Pass,True,,Low,78.7
1st Year,50.0,70.8,71.6,71.5,90.0,80.2,64.9,87.2,Achievable target,90.8,Pass,True,,High,58.6
2nd Year,59.2,63.8,50.0,67.8,68.8,59.6,50.0,106.5,Cannot pass,51.0,Fail,True,,High,58.0
4th Year,67.4,86.4,83.5,74.3,69.1,70.9,60.5,88.9,Achievable target,100.0,Pass,True,,High,59.4
3rd Year,85.4,73.2,63.8,53.3,68.2,59.9,70.5,82.6,Achievable target,81.9,Pass,True,,High,65.5
1st Year,82.2,100.0,74.1,64.4,59.5,66.6,71.7,77.8,Achievable target,88.2,Pass,True,,Medium,68.1
4th Year,79.9,52.8,79.8,83.0,78.5,71.8,87.6,62.5,Achievable target,65.3,Fail,True,,Low,86.2
2nd Year,70.8,80.0,75.4,64.3,95.0,50.0,76.8,72.1,Achievable target,79.5,Pass,True,,Medium,64.6
4th Year,69.3,82.5,50.0,88.3,90.6,93.1,71.9,77.5,Achievable target,74.8,Fail,True,,High,67.1
2nd Year,73.7,79.9,79.9,65.9,79.8,74.3,70.8,78.8,Achievable target,92.4,Pass,True,,Medium,75.4
3rd Year,63.9,66.3,86.6,84.8,65.1,62.4,81.9,68.9,Achievable target,62.0,Fail,True,,Low,86.7
2nd Year,64.8,65.8,82.0,61.7,77.6,88.2,65.3,87.0,Achievable target,100.0,Pass,True,,Medium,72.3
1st Year,82.1,72.4,85.2,69.8,70.9,65.0,69.7,79.8,Achievable target,100.0,Pass,True,,High,50.7
4th Year,62.0,85.3,64.4,77.5,72.6,69.9,60.4,90.9,Achievable target,100.0,Pass,True,,High,54.4
1st Year,61.1,66.3,89.6,75.8,61.6,63.5,85.0,67.1,Achievable target,84.9,Pass,True,,Low,86.5
1st Year,77.0,71.7,100.0,76.7,68.9,85.4,74.9,73.2,Achievable target,77.4,Pass,True,,Low,83.9
2nd Year,90.0,51.9,74.5,96.7,72.0,67.4,64.2,84.8,Achievable target,100.0,Pass,True,,High,58.0
3rd Year,53.1,68.8,90.4,77.8,63.6,70.0,70.0,82.1,Achievable target,86.1,Pass,True,,High,46.1
3rd Year,65.4,66.9,77.6,89.1,85.7,80.8,76.1,72.9,Achievable target,62.4,Fail,True,,Low,84.9
4th Year,78.7,57.8,57.9,79.6,57.7,74.5,68.6,85.7,Achievable target,100.0,Pass,True,,High,51.5
2nd Year,70.8,77.0,60.1,61.4,72.3,67.9,65.9,87.4,Achievable target,100.0,Pass,True,,Medium,63.4
2nd Year,79.3,85.8,80.5,74.3,64.7,79.8,64.7,84.3,Achievable target,89.0,Pass,True,,High,55.8
1st Year,60.9,67.4,78.2,77.3,50.0,94.4,74.4,79.7,Achievable target,72.4,Fail,True,,High,42.1
3rd Year,64.2,87.5,74.3,56.8,100.0,71.7,67.6,81.6,Achievable target,80.7,Pass,True,,Low,87.5
4th Year,73.1,77.9,78.1,69.1,64.9,69.7,66.7,84.5,Achievable target,71.3,Fail,True,,High,63.8
3rd Year,98.2,85.1,83.0,80.1,61.7,70.2,58.0,88.7,Achievable target,100.0,Pass,True,,High,56.6
3rd Year,88.3,63.5,76.7,54.2,50.0,81.9,71.9,82.3,Achievable target,71.3,Fail,True,,High,49.0
2nd Year,77.1,63.9,50.1,79.7,98.2,62.4,69.3,81.3,Achievable target,89.2,Pass,True,,High,49.4
4th Year,89.7,70.4,73.5,83.8,86.5,65.7,67.9,79.2,Achievable target,75.8,Pass,True,,High,55.8
2nd Year,69.4,73.8,76.9,79.9,71.8,52.8,73.0,77.3,Achievable target,68.0,Fail,True,,High,40.0
1st Year,72.0,89.5,87.6,79.0,93.5,56.4,78.4,66.9,Achievable target,74.3,Fail,True,,Medium,72.3
