class_standing,task_score_1,task_score_2,task_score_3,task_score_4,task_score_5,prelim_grade,midterm_grade,min_exam_score_required,predicted_category,actual_exam_score,actual_outcome,prediction_correct,error_type,risk_label
3rd Year,71.9,87.3,94.3,68.1,94.2,63.4,75.8,62.3,Achievable target,54.2,Fail,False,Underperformance,Medium
1st Year,79.3,60.5,68.5,78.1,74.7,51.1,76.4,88.6,Cannot pass,76.4,Fail,True,,Medium
4th Year,75.2,54.8,55.7,74.1,54.8,63.1,70.5,95.8,Cannot pass,90.8,Fail,True,,High
1st Year,81.0,64.4,51.4,57.0,61.0,78.0,58.5,88.3,Cannot pass,77.6,Fail,True,,High
3rd Year,58.8,81.8,72.5,51.6,64.4,54.8,53.4,95.0,Cannot pass,84.4,Fail,True,,High
4th Year,95.9,71.4,97.1,81.7,71.8,87.5,64.0,64.5,Achievable target,50.0,Fail,False,Underperformance,High
2nd Year,77.6,57.7,76.9,52.5,55.1,60.7,73.9,89.7,Cannot pass,72.1,Fail,True,,High
4th Year,79.2,75.4,66.5,97.9,78.7,83.0,79.7,63.0,Achievable target,75.8,Pass,True,,Low
3rd Year,88.6,82.2,86.5,85.0,78.5,81.1,75.9,69.7,Achievable target,50.3,Fail,False,Underperformance,High
2nd Year,84.1,76.9,81.7,62.9,72.8,64.7,57.1,88.5,Borderline,71.1,Fail,False,Ambiguity,High
3rd Year,65.4,79.9,71.3,83.5,90.0,67.5,64.3,78.7,Borderline,81.5,Pass,True,,High
4th Year,57.6,60.8,66.0,62.3,81.2,60.2,83.0,78.1,Borderline,81.2,Pass,True,,Medium
3rd Year,72.9,58.2,66.3,53.6,81.5,53.5,61.5,98.2,Cannot pass,92.6,Fail,True,,High
3rd Year,92.7,72.4,62.1,78.3,62.5,89.4,81.6,65.2,Achievable target,70.0,Pass,True,,Low
4th Year,87.7,64.3,95.5,84.0,92.1,70.6,66.5,68.3,Achievable target,52.2,Fail,False,Underperformance,Medium
2nd Year,57.8,84.0,63.8,68.2,77.7,60.0,59.2,75.4,Borderline,93.8,Pass,True,,High
1st Year,78.8,89.6,79.1,74.3,74.2,68.3,75.0,88.4,Borderline,100.0,Pass,True,,Medium
2nd Year,60.6,78.3,54.3,77.2,58.2,70.0,72.6,93.7,Cannot pass,89.1,Fail,True,,High
1st Year,61.8,60.3,66.3,63.9,71.9,53.8,62.2,98.7,Cannot pass,100.0,Pass,False,Overperformance,High
2nd Year,78.8,86.3,76.6,84.2,64.3,67.6,85.3,87.4,Borderline,99.0,Pass,True,,Low
1st Year,71.9,58.9,86.4,84.0,72.1,65.4,67.3,76.7,Borderline,91.4,Pass,True,,High
1st Year,64.7,77.6,89.3,61.0,72.1,71.8,62.0,82.4,Borderline,95.0,Pass,True,,High
2nd Year,67.9,94.5,73.8,86.0,85.8,87.3,84.5,71.9,Achievable target,84.7,Pass,True,,Low
2nd Year,77.0,76.4,77.9,66.9,78.1,74.3,64.0,57.2,Achievable target,72.4,Pass,True,,High
3rd Year,75.8,67.4,77.3,75.5,53.1,77.4,50.4,95.2,Cannot pass,79.1,Fail,True,,High
2nd Year,76.8,69.0,59.0,57.3,60.1,60.0,75.3,82.4,Borderline,92.0,Pass,True,,Medium
3rd Year,50.5,58.7,74.9,79.1,64.0,52.3,72.4,98.6,Cannot pass,100.0,Pass,False,Overperformance,High
4th Year,58.5,76.5,87.0,79.4,67.5,76.3,82.0,81.7,Borderline,98.2,Pass,True,,Low
2nd Year,68.5,76.2,72.3,89.2,74.0,68.6,68.8,82.7,Borderline,90.4,Pass,True,,High
2nd Year,62.2,62.3,69.7,51.9,71.0,64.1,62.7,96.6,Cannot pass,100.0,Pass,False,Overperformance,High
1st Year,62.0,60.5,72.9,68.6,70.2,65.6,71.6,90.3,Cannot pass,100.0,Pass,False,Overperformance,High
4th Year,70.4,78.9,73.3,69.5,86.2,80.2,72.8,88.3,Borderline,97.4,Pass,True,,High
2nd Year,55.4,59.1,60.8,53.4,66.1,55.4,67.8,90.3,Cannot pass,93.6,Pass,False,Overperformance,High
3rd Year,71.1,80.0,65.7,51.1,68.4,65.6,50.4,98.3,Cannot pass,100.0,Pass,False,Overperformance,High
2nd Year,73.3,77.4,65.5,89.1,70.2,61.9,58.7,83.9,Borderline,64.2,Fail,False,Ambiguity,High
4th Year,88.7,99.6,89.5,74.9,84.8,65.3,69.4,60.9,Achievable target,56.0,Fail,False,Underperformance,High
4th Year,81.9,61.9,72.7,63.0,54.5,59.4,56.5,91.9,Cannot pass,97.0,Pass,False,Overperformance,High
4th Year,70.3,96.4,65.2,74.3,82.1,73.3,78.0,51.1,Achievable target,64.5,Pass,True,,Low
2nd Year,87.9,83.6,78.6,75.3,70.6,77.5,63.8,58.5,Achievable target,72.4,Pass,True,,High
1st Year,52.0,70.9,62.7,75.7,80.0,76.8,61.9,91.2,Cannot pass,78.6,Fail,True,,High
3rd Year,69.9,60.3,52.0,56.7,54.9,53.5,75.9,88.2,Cannot pass,75.7,Fail,True,,Medium
3rd Year,68.9,74.4,80.0,67.5,72.8,81.5,79.4,86.3,Borderline,66.6,Fail,False,Ambiguity,Medium
1st Year,90.4,84.9,87.3,90.1,90.5,88.7,73.1,67.0,Achievable target,73.3,Pass,True,,High
4th Year,74.0,75.3,63.4,66.3,60.7,54.7,57.3,98.9,Cannot pass,92.1,Fail,True,,High
2nd Year,71.2,89.5,83.8,88.5,86.5,83.5,89.3,64.7,Achievable target,62.4,Fail,False,Underperformance,Medium
2nd Year,72.7,65.8,67.6,69.1,62.2,71.7,70.3,96.6,Cannot pass,82.0,Fail,True,,Medium
2nd Year,76.6,88.9,60.9,77.9,80.7,71.3,65.6,82.7,Borderline,74.8,Fail,False,Ambiguity,High
3rd Year,68.8,62.8,76.0,70.1,60.2,73.9,73.1,77.4,Borderline,65.1,Fail,False,Ambiguity,High
2nd Year,82.5,68.9,65.2,88.4,75.5,57.8,81.6,77.8,Borderline,93.7,Pass,True,,Medium
2nd Year,89.0,88.9,66.1,82.3,67.5,75.9,74.9,75.8,Borderline,74.7,Fail,False,Ambiguity,High
4th Year,54.1,58.2,79.0,66.6,75.5,73.5,70.6,92.7,Cannot pass,75.3,Fail,True,,High
3rd Year,73.8,78.9,69.2,66.9,78.5,62.7,72.7,88.6,Cannot pass,89.7,Pass,False,Overperformance,High
2nd Year,52.4,81.2,50.2,73.0,57.8,77.1,60.7,88.3,Cannot pass,86.8,Fail,True,,High
4th Year,89.6,89.3,68.1,72.9,60.3,72.7,75.0,78.5,Borderline,91.1,Pass,True,,Low
2nd Year,50.0,57.3,56.7,54.0,55.3,67.5,52.9,96.9,Cannot pass,100.0,Pass,False,Overperformance,High
3rd Year,87.1,69.5,65.2,70.8,98.6,90.9,74.1,58.5,Achievable target,50.0,Fail,False,Underperformance,High
3rd Year,99.2,70.4,76.0,78.3,66.8,74.1,87.8,53.6,Achievable target,65.7,Pass,True,,Low
1st Year,55.5,50.4,58.7,52.0,62.1,72.7,70.2,99.4,Cannot pass,90.3,Fail,True,,High
3rd Year,71.3,56.9,59.7,67.0,75.5,62.9,56.4,99.9,Cannot pass,100.0,Pass,False,Overperformance,High
2nd Year,83.7,84.7,83.2,63.9,77.9,79.7,79.4,78.8,Borderline,74.4,Fail,False,Ambiguity,High
2nd Year,65.4,68.4,76.8,74.6,71.6,57.4,63.4,92.0,Cannot pass,86.6,Fail,True,,High
2nd Year,74.9,71.7,83.7,64.4,72.3,64.3,81.6,64.8,Achievable target,72.2,Pass,True,,Low
3rd Year,88.6,76.3,79.4,74.5,83.6,83.9,68.5,84.7,Borderline,90.0,Pass,True,,High
2nd Year,70.2,57.2,88.5,85.7,66.6,86.9,66.5,81.4,Borderline,64.2,Fail,False,Ambiguity,High
1st Year,71.9,79.0,61.3,70.9,67.2,77.3,61.1,78.3,Borderline,92.8,Pass,True,,High
3rd Year,78.0,89.1,91.1,65.6,94.4,84.0,72.8,69.9,Achievable target,84.7,Pass,True,,High
4th Year,75.4,81.2,90.0,76.1,83.7,79.3,82.7,88.4,Borderline,93.0,Pass,True,,Low
1st Year,76.3,71.8,75.8,83.3,87.7,69.5,78.5,77.8,Borderline,88.9,Pass,True,,Low
2nd Year,81.1,82.7,89.9,86.7,75.6,63.2,66.3,75.3,Achievable target,93.8,Pass,True,,High
2nd Year,71.8,78.6,88.2,75.6,64.6,74.7,70.6,58.4,Achievable target,62.5,Pass,True,,High
4th Year,66.9,58.7,67.7,65.8,75.5,76.8,53.7,98.6,Cannot pass,100.0,Pass,False,Overperformance,Medium
2nd Year,76.2,75.1,62.2,99.3,85.0,74.7,78.8,51.1,Achievable target,50.0,Fail,False,Underperformance,Medium
2nd Year,81.5,91.9,87.0,84.9,93.0,65.0,83.0,68.6,Achievable target,74.8,Pass,True,,Low
2nd Year,56.8,56.3,66.8,54.3,71.1,52.9,50.8,91.8,Cannot pass,87.2,Fail,True,,High
1st Year,73.5,70.4,69.5,76.2,85.0,85.7,73.6,66.3,Achievable target,56.1,Fail,False,Underperformance,High
4th Year,68.2,59.3,72.5,76.2,64.9,77.6,74.6,90.4,Cannot pass,100.0,Pass,False,Overperformance,High
4th Year,67.1,66.4,77.3,69.5,67.2,51.4,62.6,98.9,Cannot pass,84.4,Fail,True,,High
4th Year,95.6,93.4,82.8,62.9,83.4,64.6,72.3,66.4,Achievable target,84.7,Pass,True,,High
1st Year,85.4,87.3,57.7,64.9,80.4,79.7,68.8,84.2,Borderline,96.8,Pass,True,,Medium
4th Year,73.0,52.7,55.1,54.2,79.8,75.6,72.3,89.4,Cannot pass,100.0,Pass,False,Overperformance,High
1st Year,76.0,72.1,93.5,67.5,86.6,91.5,82.9,52.1,Achievable target,70.3,Pass,True,,Low
3rd Year,79.3,87.1,95.4,80.1,82.2,76.1,65.1,70.5,Achievable target,73.9,Pass,True,,High
3rd Year,62.4,59.0,62.9,69.8,60.0,54.8,74.3,99.6,Cannot pass,89.9,Fail,True,,High
4th Year,51.5,51.2,62.6,79.8,73.4,59.8,77.1,93.1,Cannot pass,86.9,Fail,True,,Medium
1st Year,56.8,78.3,61.6,71.1,62.4,75.2,68.0,93.9,Cannot pass,90.3,Fail,True,,High
2nd Year,82.8,72.8,95.4,64.1,73.9,78.6,72.9,62.4,Achievable target,56.4,Fail,False,Underperformance,High
3rd Year,51.2,55.0,80.5,68.4,65.6,60.8,69.8,89.7,Cannot pass,83.4,Fail,True,,High
4th Year,65.3,74.6,78.7,76.3,55.9,52.6,54.7,97.4,Cannot pass,100.0,Pass,False,Overperformance,Medium
4th Year,73.3,93.9,82.4,93.3,82.8,67.2,65.3,74.9,Achievable target,65.8,Fail,False,Underperformance,High
4th Year,68.8,69.5,88.2,59.1,60.9,80.7,73.5,76.8,Borderline,78.5,Pass,True,,High
1st Year,58.3,50.5,56.9,73.6,77.4,75.2,60.9,91.8,Cannot pass,71.8,Fail,True,,High
1st Year,82.4,71.7,74.2,81.6,82.6,63.4,90.8,65.0,Achievable target,52.8,Fail,False,Underperformance,High
1st Year,74.5,73.6,53.0,69.0,71.1,73.4,55.8,98.5,Cannot pass,88.8,Fail,True,,High
4th Year,60.5,63.5,66.3,73.4,81.7,62.6,86.8,77.3,Borderline,89.6,Pass,True,,Medium
3rd Year,76.6,70.7,72.9,54.3,50.3,62.2,52.5,92.3,Cannot pass,97.5,Pass,False,Overperformance,High
1st Year,86.0,84.0,80.6,62.1,58.6,76.6,76.3,80.2,Borderline,70.2,Fail,False,Ambiguity,Medium
2nd Year,71.1,73.9,77.9,84.9,98.3,78.6,84.2,71.0,Achievable target,74.1,Pass,True,,Low
4th Year,65.4,68.3,51.2,79.0,80.5,50.1,56.0,90.2,Cannot pass,100.0,Pass,False,Overperformance,Medium
2nd Year,68.7,92.9,75.4,79.5,76.7,78.1,76.9,57.1,Achievable target,66.2,Pass,True,,Low
2nd Year,73.6,87.2,75.2,82.4,66.7,80.7,64.9,75.3,Borderline,71.2,Fail,False,Ambiguity,High
4th Year,80.3,82.0,74.4,53.5,78.8,70.8,59.3,94.0,Cannot pass,80.5,Fail,True,,High
2nd Year,81.1,89.8,69.2,78.9,82.2,84.3,91.0,72.1,Achievable target,84.9,Pass,True,,Low
3rd Year,69.3,67.4,51.9,72.3,72.9,64.3,74.4,96.1,Cannot pass,88.2,Fail,True,,High
3rd Year,59.0,68.6,72.2,62.5,63.2,63.9,80.4,85.8,Borderline,94.1,Pass,True,,Medium
4th Year,53.5,52.8,62.5,51.5,60.7,76.9,64.2,97.9,Cannot pass,94.4,Fail,True,,High
3rd Year,98.0,76.6,86.6,99.1,82.9,71.9,78.4,51.4,Achievable target,54.6,Pass,True,,Low
4th Year,78.3,71.5,59.5,57.1,71.9,75.7,58.4,91.9,Cannot pass,74.6,Fail,True,,High
1st Year,79.2,59.4,53.9,64.1,59.5,74.7,51.0,95.6,Cannot pass,100.0,Pass,False,Overperformance,High
4th Year,86.7,98.1,64.9,75.7,62.3,91.5,89.2,50.7,Achievable target,50.0,Fail,False,Underperformance,Medium
1st Year,58.3,77.1,55.1,75.3,67.7,60.6,54.1,100.0,Cannot pass,87.2,Fail,True,,High
3rd Year,61.9,79.0,76.3,76.0,69.7,74.9,58.4,96.4,Cannot pass,87.8,Fail,True,,High
2nd Year,81.9,81.5,66.4,68.4,78.7,77.6,71.8,88.8,Cannot pass,81.7,Fail,True,,High
3rd Year,91.2,90.2,87.4,77.8,77.3,86.5,71.5,67.8,Achievable target,53.0,Fail,False,Underperformance,High
2nd Year,67.6,81.5,60.5,61.6,70.8,58.7,85.4,87.6,Borderline,85.7,Fail,False,Ambiguity,Medium
3rd Year,81.3,88.7,95.7,83.9,66.4,63.1,77.4,74.7,Achievable target,62.8,Fail,False,Underperformance,Medium
1st Year,58.0,87.2,67.8,80.3,79.9,64.6,58.9,80.4,Borderline,87.4,Pass,True,,High
4th Year,93.2,70.5,82.1,63.5,70.1,85.1,86.0,70.2,Achievable target,66.5,Fail,False,Underperformance,Medium
2nd Year,63.5,81.7,70.9,79.9,54.7,62.6,71.6,92.4,Cannot pass,79.4,Fail,True,,High
1st Year,81.7,55.6,79.9,62.9,65.0,64.8,57.4,99.6,Cannot pass,81.2,Fail,True,,High
1st Year,81.9,71.4,64.5,77.2,50.8,73.4,63.9,96.1,Cannot pass,100.0,Pass,False,Overperformance,High
1st Year,63.2,78.1,77.5,70.5,71.4,79.9,72.2,71.6,Achievable target,74.7,Pass,True,,High
2nd Year,55.1,66.9,67.7,70.6,63.7,64.3,55.1,93.6,Cannot pass,85.5,Fail,True,,High
3rd Year,78.5,91.6,78.2,71.0,72.4,64.3,78.7,71.6,Achievable target,56.0,Fail,False,Underperformance,Medium
3rd Year,56.3,77.6,51.8,62.8,77.4,61.0,53.3,91.2,Cannot pass,78.8,Fail,True,,High
4th Year,86.9,78.7,74.7,71.2,93.3,74.5,84.4,61.4,Achievable target,64.2,Pass,True,,Low
1st Year,66.2,64.7,76.1,79.1,75.2,66.3,65.2,95.7,Cannot pass,89.3,Fail,True,,High
4th Year,77.4,58.6,78.9,77.2,63.6,75.5,53.4,88.3,Cannot pass,95.9,Pass,False,Overperformance,High
3rd Year,61.2,80.1,58.2,59.0,70.3,50.1,70.4,92.5,Cannot pass,73.0,Fail,True,,High
1st Year,58.7,60.1,59.9,88.4,79.6,69.8,63.0,87.2,Borderline,82.4,Fail,False,Ambiguity,High
3rd Year,91.0,73.2,81.2,70.5,76.4,91.0,83.1,72.0,Achievable target,60.7,Fail,False,Underperformance,Medium
4th Year,89.1,81.0,68.7,77.7,86.1,84.3,70.1,72.8,Achievable target,81.0,Pass,True,,High
3rd Year,56.2,75.7,61.3,65.5,57.1,69.2,71.9,92.1,Cannot pass,73.1,Fail,True,,High
1st Year,54.3,68.8,72.4,58.0,67.7,58.9,65.5,95.9,Cannot pass,76.4,Fail,True,,High
2nd Year,86.6,84.0,74.1,71.6,99.5,69.0,85.9,53.8,Achievable target,70.1,Pass,True,,Low
1st Year,88.9,79.6,60.0,79.9,76.9,67.1,64.8,85.1,Borderline,100.0,Pass,True,,Medium
4th Year,78.0,58.6,52.2,69.2,53.4,57.7,64.2,91.4,Cannot pass,86.4,Fail,True,,High
2nd Year,82.8,93.9,84.1,80.4,71.9,86.0,68.7,56.3,Achievable target,50.0,Fail,False,Underperformance,High
2nd Year,85.3,63.5,66.8,81.0,90.4,76.5,63.5,54.8,Achievable target,50.0,Fail,False,Underperformance,High
2nd Year,51.1,51.4,58.4,52.7,67.3,53.5,68.2,97.3,Cannot pass,100.0,Pass,False,Overperformance,High
1st Year,72.4,63.1,74.5,88.9,64.3,73.4,71.6,55.7,Achievable target,50.0,Fail,False,Underperformance,High
2nd Year,74.7,87.1,60.4,61.9,69.7,76.7,74.5,76.0,Borderline,56.8,Fail,False,Ambiguity,High
1st Year,75.6,85.7,97.9,87.2,98.3,68.4,80.9,71.6,Achievable target,82.2,Pass,True,,Low
2nd Year,99.4,67.4,77.6,95.2,96.2,91.4,88.7,51.3,Achievable target,70.0,Pass,True,,Low
3rd Year,78.5,70.0,83.9,76.0,84.9,62.8,62.5,81.2,Borderline,82.3,Pass,True,,High
3rd Year,59.5,67.8,52.2,55.5,69.9,58.6,56.0,90.7,Cannot pass,95.8,Pass,False,Overperformance,High
4th Year,62.5,69.0,79.7,74.0,76.7,64.5,85.0,80.8,Borderline,87.2,Pass,True,,Low
2nd Year,78.6,77.3,86.3,58.9,84.6,77.3,67.8,78.6,Borderline,75.6,Fail,False,Ambiguity,Medium
1st Year,61.7,65.6,79.8,80.4,62.3,81.4,72.3,86.9,Borderline,84.2,Fail,False,Ambiguity,High
1st Year,86.2,67.7,81.9,62.5,91.6,89.1,87.3,74.9,Achievable target,93.1,Pass,True,,Low
3rd Year,70.1,86.6,87.6,89.1,82.4,63.1,85.3,88.3,Borderline,100.0,Pass,True,,Low
3rd Year,68.0,80.2,53.0,77.6,51.8,59.5,53.8,93.7,Cannot pass,99.2,Pass,False,Overperformance,High
4th Year,83.3,96.1,72.6,63.0,91.5,83.4,78.8,71.2,Achievable target,54.2,Fail,False,Underperformance,High
4th Year,98.7,89.3,87.7,75.7,62.1,70.0,85.2,68.5,Achievable target,75.7,Pass,True,,Low
4th Year,56.2,58.4,80.3,63.2,57.8,63.6,60.8,96.8,Cannot pass,77.5,Fail,True,,High
3rd Year,68.9,61.7,68.1,60.2,50.0,74.3,62.0,93.9,Cannot pass,91.3,Fail,True,,High
3rd Year,62.6,70.6,84.7,72.1,87.7,63.3,78.5,88.7,Borderline,77.2,Fail,False,Ambiguity,Medium
1st Year,76.9,90.6,96.5,88.7,97.6,80.1,79.7,57.9,Achievable target,50.0,Fail,False,Underperformance,Medium
3rd Year,78.3,64.7,75.0,81.9,88.0,61.7,60.8,80.8,Borderline,77.4,Fail,False,Ambiguity,Medium
2nd Year,78.1,82.3,70.6,79.1,99.4,77.2,63.3,56.3,Achievable target,50.0,Fail,False,Underperformance,High
2nd Year,70.0,85.4,64.9,83.9,66.8,86.7,90.2,54.5,Achievable target,50.0,Fail,False,Underperformance,Medium
1st Year,68.2,59.1,65.7,89.7,58.5,82.8,59.3,82.4,Borderline,92.0,Pass,True,,High
3rd Year,63.6,62.9,81.7,80.9,80.1,57.8,64.8,86.8,Borderline,74.3,Fail,False,Ambiguity,High
1st Year,73.2,71.9,98.0,89.7,66.8,90.2,79.9,58.7,Achievable target,67.2,Pass,True,,Low
1st Year,69.4,76.1,80.4,63.4,88.2,67.7,69.6,84.8,Borderline,72.2,Fail,False,Ambiguity,High
4th Year,78.4,86.8,83.4,84.2,65.5,69.6,73.6,75.6,Borderline,91.2,Pass,True,,Medium
4th Year,72.7,71.9,72.8,74.8,85.0,79.9,70.4,55.4,Achievable target,72.1,Pass,True,,High
2nd Year,66.4,66.7,68.4,78.3,70.0,77.3,74.4,90.6,Cannot pass,85.0,Fail,True,,High
3rd Year,62.5,67.7,57.4,57.1,62.2,68.8,69.3,99.7,Cannot pass,94.9,Fail,True,,High
4th Year,80.9,72.1,69.0,67.3,52.4,75.0,67.5,94.9,Cannot pass,83.6,Fail,True,,High
4th Year,58.1,74.2,66.3,51.1,62.8,76.0,60.5,93.0,Cannot pass,80.1,Fail,True,,High
3rd Year,87.4,94.3,66.3,97.1,96.3,78.1,81.1,55.5,Achievable target,50.0,Fail,False,Underperformance,Medium
2nd Year,57.7,89.4,65.6,76.6,66.9,68.1,68.9,79.7,Borderline,92.8,Pass,True,,High
1st Year,71.1,89.1,79.0,77.0,64.8,58.9,82.6,83.0,Borderline,74.2,Fail,False,Ambiguity,Medium
1st Year,67.2,82.9,67.8,87.4,65.8,61.1,77.9,77.3,Borderline,58.2,Fail,False,Ambiguity,Medium
1st Year,70.8,69.9,97.1,85.1,96.0,66.2,89.8,63.5,Achievable target,50.0,Fail,False,Underperformance,Medium
2nd Year,64.2,98.4,99.8,75.9,97.9,67.9,67.5,51.9,Achievable target,60.3,Pass,True,,High
3rd Year,62.6,54.4,73.4,76.7,72.0,55.6,71.5,91.0,Cannot pass,75.6,Fail,True,,High
1st Year,61.7,52.7,76.5,80.1,71.3,77.0,76.2,90.3,Cannot pass,75.4,Fail,True,,Medium
1st Year,65.6,55.0,81.2,73.2,58.5,60.4,61.8,97.0,Cannot pass,78.4,Fail,True,,High
3rd Year,80.0,84.5,76.9,81.2,66.0,67.9,74.6,73.8,Achievable target,81.4,Pass,True,,Medium
1st Year,81.5,88.3,72.2,57.3,79.7,69.5,77.2,78.9,Borderline,79.9,Pass,True,,Low
3rd Year,72.6,62.6,57.0,64.8,74.1,53.3,69.4,96.0,Cannot pass,88.0,Fail,True,,High
1st Year,78.6,60.1,51.0,59.9,56.6,65.3,75.7,98.4,Cannot pass,100.0,Pass,False,Overperformance,Medium
2nd Year,63.4,82.7,64.4,97.7,94.9,69.2,83.3,64.8,Achievable target,81.0,Pass,True,,Low
4th Year,56.1,70.5,52.6,68.7,56.8,69.2,73.2,89.3,Cannot pass,80.7,Fail,True,,High
1st Year,55.2,68.1,71.5,61.4,76.6,64.3,67.6,89.7,Cannot pass,91.1,Pass,False,Overperformance,High
3rd Year,86.8,86.1,83.7,63.6,74.3,80.9,77.2,76.6,Borderline,94.6,Pass,True,,Low
4th Year,55.5,78.8,65.5,61.9,67.7,77.5,53.3,97.1,Cannot pass,89.7,Fail,True,,High
1st Year,78.0,82.9,69.8,77.4,86.2,79.7,84.0,71.7,Achievable target,80.5,Pass,True,,Low
3rd Year,80.9,83.5,66.1,73.9,68.5,74.2,91.2,65.2,Achievable target,74.3,Pass,True,,Low
4th Year,79.1,71.4,71.8,80.1,59.0,73.2,73.4,85.6,Borderline,100.0,Pass,True,,High
4th Year,81.1,68.4,84.4,93.7,97.4,86.9,68.5,68.5,Achievable target,50.8,Fail,False,Underperformance,High
1st Year,88.1,81.0,86.2,73.2,65.4,87.0,90.4,72.3,Achievable target,64.9,Fail,False,Underperformance,Medium
1st Year,66.2,84.8,78.6,88.9,68.3,73.5,80.7,78.3,Borderline,97.6,Pass,True,,Low
3rd Year,57.3,57.8,86.1,78.3,82.2,80.5,69.6,86.2,Borderline,100.0,Pass,True,,High
1st Year,91.0,73.7,74.2,77.7,94.8,63.6,75.6,67.7,Achievable target,70.8,Pass,True,,Medium
2nd Year,80.1,52.9,54.9,81.2,56.3,52.2,76.7,98.7,Cannot pass,100.0,Pass,False,Overperformance,Medium
2nd Year,79.4,71.0,71.1,77.0,70.9,64.1,60.9,94.0,Cannot pass,83.1,Fail,True,,High
2nd Year,79.0,92.5,77.8,63.0,72.8,69.7,86.0,61.7,Achievable target,68.0,Pass,True,,Low
1st Year,57.6,62.8,84.3,75.2,82.5,82.1,85.3,75.9,Borderline,59.7,Fail,False,Ambiguity,Medium
1st Year,56.6,79.8,62.9,78.4,69.4,64.7,54.5,99.0,Cannot pass,100.0,Pass,False,Overperformance,High
4th Year,57.6,82.7,62.3,76.8,79.5,65.4,74.1,78.4,Borderline,97.3,Pass,True,,Medium
1st Year,66.5,74.5,73.5,88.7,70.0,73.9,84.9,77.3,Borderline,65.8,Fail,False,Ambiguity,Medium
1st Year,69.8,61.7,81.0,63.3,54.4,73.4,73.0,96.3,Cannot pass,81.1,Fail,True,,High
3rd Year,78.2,58.3,63.5,87.8,81.4,63.9,60.3,88.3,Borderline,91.4,Pass,True,,High
3rd Year,63.0,57.2,67.4,89.1,68.3,72.1,79.4,82.7,Borderline,97.8,Pass,True,,Medium
1st Year,77.1,78.4,83.4,80.4,83.1,61.4,77.3,85.3,Borderline,78.6,Fail,False,Ambiguity,Medium
2nd Year,73.6,71.3,94.9,71.4,77.8,73.7,89.0,61.8,Achievable target,50.0,Fail,False,Underperformance,High
1st Year,70.1,80.2,75.7,62.8,80.4,64.7,50.6,91.1,Cannot pass,100.0,Pass,False,Overperformance,High
3rd Year,68.7,61.6,67.1,50.1,77.1,60.1,53.9,93.3,Cannot pass,83.0,Fail,True,,High
1st Year,81.9,63.7,95.1,79.3,64.9,85.4,82.1,66.9,Achievable target,76.0,Pass,True,,Low
1st Year,82.4,63.9,73.4,99.5,87.2,75.1,69.4,69.4,Achievable target,75.3,Pass,True,,High
3rd Year,67.9,89.7,86.4,64.7,66.4,81.4,79.6,67.8,Achievable target,72.2,Pass,True,,Low
1st Year,97.6,84.8,69.5,87.8,75.0,64.4,71.8,73.5,Achievable target,64.7,Fail,False,Underperformance,High
1st Year,81.3,81.6,62.2,86.2,66.1,76.9,70.5,60.2,Achievable target,50.0,Fail,False,Underperformance,High
2nd Year,72.8,99.6,64.2,74.1,74.2,74.0,82.9,56.4,Achievable target,66.2,Pass,True,,Low
1st Year,67.6,88.3,89.3,60.9,68.3,63.2,62.6,81.9,Borderline,93.6,Pass,True,,High
2nd Year,58.7,58.9,81.7,79.6,52.4,68.4,62.8,96.3,Cannot pass,83.9,Fail,True,,High
3rd Year,64.5,75.3,99.4,68.9,66.8,84.1,85.5,67.5,Achievable target,51.7,Fail,False,Underperformance,Medium
4th Year,61.5,77.1,82.6,85.6,65.1,60.8,80.4,78.6,Borderline,77.0,Fail,False,Ambiguity,Medium
3rd Year,81.2,74.4,62.4,63.3,92.1,77.2,67.3,59.3,Achievable target,55.2,Fail,False,Underperformance,High
1st Year,58.8,67.6,56.7,61.0,65.3,61.8,53.6,88.5,Cannot pass,86.8,Fail,True,,High
2nd Year,89.3,67.0,91.9,89.2,62.1,63.8,68.7,51.5,Achievable target,62.6,Pass,True,,High
2nd Year,83.5,73.3,81.0,81.8,73.7,84.8,86.7,80.0,Borderline,83.4,Pass,True,,Low
1st Year,70.5,82.2,76.4,80.3,91.0,70.9,78.6,58.7,Achievable target,74.6,Pass,True,,Low
3rd Year,57.3,78.8,62.6,80.9,75.7,69.0,77.8,87.0,Borderline,100.0,Pass,True,,Medium
4th Year,89.5,77.7,92.0,93.5,67.2,69.9,70.8,54.3,Achievable target,62.8,Pass,True,,High
3rd Year,76.7,60.4,65.9,79.0,70.2,69.6,80.9,88.8,Borderline,100.0,Pass,True,,Low
3rd Year,53.3,81.0,71.7,74.1,71.6,55.0,62.6,97.6,Cannot pass,80.1,Fail,True,,High
1st Year,76.7,62.2,88.6,65.3,81.0,63.9,75.5,84.2,Borderline,91.5,Pass,True,,Medium
4th Year,78.3,77.4,60.6,73.8,67.9,66.6,63.4,95.2,Cannot pass,98.8,Pass,False,Overperformance,High
1st Year,55.7,59.0,54.1,56.8,75.0,65.4,50.7,97.5,Cannot pass,79.2,Fail,True,,High
3rd Year,76.3,81.8,68.8,80.8,80.4,58.8,74.2,97.5,Cannot pass,100.0,Pass,False,Overperformance,High
1st Year,76.6,77.2,86.3,90.0,95.4,88.4,83.9,74.9,Achievable target,70.5,Fail,False,Underperformance,High
