class_standing,task_score_1,task_score_2,task_score_3,task_score_4,task_score_5,prelim_grade,midterm_grade,min_exam_score_required,predicted_category,actual_exam_score,actual_outcome,prediction_correct,error_type
3rd Year,96.9,90.0,89.1,82.5,62.5,75.8,70.7,61.4,Achievable target,67.9,Pass,True,None
1st Year,60.2,68.4,66.7,73.0,62.0,67.6,70.4,99.1,Cannot pass,99.4,Pass,False,Underperformance
4th Year,61.9,60.7,95.2,74.3,66.3,76.1,74.2,69.9,Achievable target,96.8,Pass,True,None
2nd Year,75.1,81.8,64.1,79.2,94.6,87.7,79.9,65.6,Achievable target,89.2,Pass,True,None
1st Year,64.5,60.8,79.4,77.2,67.9,78.5,85.3,50.8,Achievable target,83.3,Pass,True,None
1st Year,73.1,84.4,85.9,85.4,78.6,82.4,88.9,66.8,Achievable target,88.4,Pass,True,None
2nd Year,93.4,67.8,67.3,92.0,94.1,73.2,74.4,70.4,Achievable target,98.0,Pass,True,None
4th Year,63.2,91.2,79.7,89.5,97.1,85.8,75.5,58.0,Achievable target,75.7,Pass,True,None
4th Year,90.1,73.9,88.4,85.4,74.7,89.1,85.4,51.4,Achievable target,70.1,Pass,True,None
4th Year,94.7,65.1,94.6,70.0,88.5,88.4,89.8,69.9,Achievable target,92.8,Pass,True,None
2nd Year,66.3,82.4,96.9,64.8,94.1,79.1,70.7,52.6,Achievable target,70.1,Pass,True,None
4th Year,88.3,64.6,73.3,80.2,82.8,66.6,74.6,75.2,Borderline,52.9,Fail,False,Ambiguity
4th Year,72.8,83.6,79.7,97.4,73.6,71.7,80.7,54.3,Achievable target,55.4,Pass,True,None
2nd Year,79.8,72.2,70.5,75.4,68.9,71.9,66.0,91.4,Cannot pass,62.0,Fail,True,None
2nd Year,81.5,66.7,78.3,89.7,90.6,75.8,75.5,63.2,Achievable target,67.4,Pass,True,None
1st Year,74.9,64.5,96.6,70.0,81.6,78.5,77.6,68.4,Achievable target,52.2,Fail,False,Overperformance
3rd Year,63.6,62.8,66.3,64.5,63.8,60.6,68.5,98.8,Cannot pass,99.0,Pass,False,Underperformance
3rd Year,84.1,91.0,98.6,71.8,67.1,85.1,80.9,66.4,Achievable target,72.7,Pass,True,None
3rd Year,82.8,82.9,63.8,78.4,66.2,88.4,80.2,56.4,Achievable target,95.2,Pass,True,None
1st Year,74.0,69.5,66.1,78.1,64.8,61.1,66.0,93.2,Cannot pass,53.0,Fail,True,None
2nd Year,88.1,66.6,98.1,80.9,91.3,72.4,84.2,67.3,Achievable target,72.8,Pass,True,None
3rd Year,79.9,64.8,79.5,63.9,72.9,64.0,71.5,98.3,Cannot pass,88.6,Fail,True,None
2nd Year,73.2,71.7,98.0,84.7,79.0,87.7,83.3,63.5,Achievable target,91.0,Pass,True,None
2nd Year,63.6,93.8,97.7,98.0,73.9,73.7,77.0,53.9,Achievable target,77.0,Pass,True,None
4th Year,74.4,71.8,88.0,60.9,93.2,72.1,77.6,59.5,Achievable target,59.8,Pass,True,None
2nd Year,81.6,91.1,81.2,60.0,73.0,73.1,85.3,50.5,Achievable target,96.5,Pass,True,None
1st Year,78.5,68.7,78.6,75.9,66.4,68.5,63.8,98.4,Cannot pass,81.9,Fail,True,None
2nd Year,81.2,98.0,90.1,69.9,78.1,70.5,72.5,66.5,Achievable target,64.3,Fail,False,Overperformance
1st Year,70.8,88.6,89.1,69.3,66.0,73.7,72.0,61.8,Achievable target,74.9,Pass,True,None
2nd Year,86.6,74.8,82.1,73.8,99.9,78.1,74.9,63.2,Achievable target,76.1,Pass,True,None
2nd Year,71.7,77.7,80.2,89.3,64.0,88.2,73.1,65.5,Achievable target,77.0,Pass,True,None
3rd Year,97.1,62.2,80.8,82.6,87.1,79.2,86.3,63.3,Achievable target,64.0,Pass,True,None
2nd Year,82.1,87.9,65.1,94.7,79.6,75.5,89.5,70.9,Achievable target,87.6,Pass,True,None
4th Year,90.4,83.9,99.2,93.3,71.8,75.5,81.8,58.7,Achievable target,71.2,Pass,True,None
4th Year,62.8,72.1,81.0,80.6,84.1,74.5,69.3,80.3,Borderline,64.3,Fail,False,Ambiguity
3rd Year,76.7,98.5,96.1,92.5,97.4,88.9,87.3,67.3,Achievable target,73.5,Pass,True,None
4th Year,99.4,77.1,94.3,95.8,92.1,74.5,78.1,72.5,Achievable target,82.6,Pass,True,None
4th Year,60.0,79.1,65.3,69.0,87.2,83.1,84.1,50.2,Achievable target,84.8,Pass,True,None
3rd Year,82.7,88.7,68.5,80.0,95.4,71.3,88.3,65.4,Achievable target,70.3,Pass,True,None
1st Year,72.6,62.0,89.1,73.9,72.5,69.5,67.9,87.6,Borderline,66.5,Fail,True,None
1st Year,65.6,61.5,66.7,67.2,78.5,62.7,71.5,90.9,Cannot pass,51.8,Fail,True,None
2nd Year,72.0,73.6,63.0,73.3,66.0,62.1,66.4,98.2,Cannot pass,66.8,Fail,True,None
4th Year,79.7,90.2,72.0,90.6,91.9,80.7,83.8,64.3,Achievable target,92.7,Pass,True,None
3rd Year,72.3,74.4,70.8,65.3,67.5,72.1,70.1,60.8,Achievable target,82.5,Pass,True,None
3rd Year,82.5,67.5,99.5,95.3,79.7,89.0,81.3,57.4,Achievable target,78.3,Pass,True,None
3rd Year,79.0,74.1,78.4,66.8,90.7,79.1,70.6,64.5,Achievable target,69.0,Pass,True,None
4th Year,66.8,75.0,88.2,67.9,67.3,83.1,84.7,72.8,Achievable target,60.2,Fail,False,Overperformance
4th Year,68.2,67.6,87.9,88.9,89.2,73.1,72.0,56.4,Achievable target,68.7,Pass,True,None
3rd Year,82.6,84.5,99.7,75.9,68.1,75.2,80.7,63.3,Achievable target,83.8,Pass,True,None
2nd Year,80.0,72.3,60.9,97.8,80.2,80.0,80.3,73.2,Achievable target,79.0,Pass,True,None
3rd Year,82.5,85.8,85.9,98.7,73.3,73.3,82.3,69.1,Achievable target,72.4,Pass,True,None
3rd Year,78.2,73.5,60.1,78.2,60.7,63.7,70.8,90.4,Cannot pass,81.9,Fail,True,None
2nd Year,83.8,91.5,81.0,81.1,74.5,85.2,83.6,72.0,Achievable target,75.1,Pass,True,None
2nd Year,77.6,85.9,89.1,61.6,82.6,75.0,77.7,83.2,Borderline,75.6,Fail,False,Ambiguity
1st Year,89.7,76.6,77.7,66.6,89.1,74.3,87.8,71.5,Achievable target,92.3,Pass,True,None
3rd Year,98.3,78.0,92.4,93.5,99.3,82.1,80.0,52.0,Achievable target,83.0,Pass,True,None
4th Year,67.2,77.1,70.1,67.0,74.1,63.3,71.8,94.0,Cannot pass,52.8,Fail,True,None
4th Year,99.2,68.9,77.0,62.5,77.1,80.5,84.0,51.2,Achievable target,50.1,Fail,False,Overperformance
1st Year,94.9,64.3,81.4,60.2,64.7,84.9,82.1,54.1,Achievable target,76.0,Pass,True,None
1st Year,76.8,68.1,77.9,78.4,60.8,70.9,63.4,96.5,Cannot pass,53.2,Fail,True,None
2nd Year,82.5,70.9,64.4,89.6,69.6,86.6,75.4,51.2,Achievable target,95.4,Pass,True,None
3rd Year,97.1,97.9,96.6,95.9,76.7,78.7,74.4,51.1,Achievable target,99.6,Pass,True,None
2nd Year,64.0,77.5,79.0,77.1,75.0,68.8,63.4,90.1,Cannot pass,52.7,Fail,True,None
2nd Year,76.1,69.8,68.2,64.7,65.8,69.3,65.8,95.1,Cannot pass,90.0,Fail,True,None
4th Year,80.1,95.8,88.1,72.4,64.7,76.1,78.1,72.0,Achievable target,80.3,Pass,True,None
2nd Year,64.7,67.2,70.0,60.0,72.0,70.6,62.1,94.0,Cannot pass,94.5,Pass,False,Underperformance
2nd Year,79.8,69.9,89.2,80.1,75.6,67.9,67.4,83.1,Borderline,98.0,Pass,True,None
1st Year,73.6,68.7,76.3,64.0,61.0,66.9,67.8,95.0,Cannot pass,52.1,Fail,True,None
1st Year,83.9,69.5,80.3,80.2,98.0,71.0,74.8,56.5,Achievable target,70.3,Pass,True,None
4th Year,73.8,79.4,81.1,64.9,88.4,75.5,71.3,66.3,Achievable target,84.3,Pass,True,None
4th Year,91.3,72.3,94.3,88.4,70.9,73.7,72.3,52.1,Achievable target,94.1,Pass,True,None
1st Year,67.2,64.0,63.1,70.7,77.2,67.9,66.2,92.4,Cannot pass,83.9,Fail,True,None
1st Year,75.6,66.7,64.8,63.3,62.1,61.3,64.4,92.2,Cannot pass,50.5,Fail,True,None
1st Year,66.7,74.5,68.0,68.0,93.8,84.8,87.8,59.7,Achievable target,69.1,Pass,True,None
2nd Year,60.0,72.0,97.8,80.8,91.3,78.5,88.9,65.8,Achievable target,57.0,Fail,False,Overperformance
3rd Year,69.1,63.1,70.1,78.3,64.4,69.1,63.7,93.7,Cannot pass,92.5,Fail,True,None
3rd Year,60.9,77.3,73.8,80.5,73.3,66.7,65.8,78.4,Borderline,55.0,Fail,True,None
4th Year,81.7,78.2,72.9,67.5,87.9,76.9,81.0,63.7,Achievable target,72.2,Pass,True,None
4th Year,75.2,90.1,93.3,70.1,63.3,76.5,85.2,50.5,Achievable target,77.2,Pass,True,None
4th Year,67.7,76.0,69.3,76.3,63.0,64.4,63.3,92.9,Cannot pass,55.1,Fail,True,None
4th Year,77.3,77.1,75.4,66.9,68.5,67.8,62.1,96.2,Cannot pass,99.5,Pass,False,Underperformance
2nd Year,93.2,90.5,93.9,87.4,91.7,80.3,89.4,57.7,Achievable target,77.9,Pass,True,None
3rd Year,74.5,67.9,69.9,80.8,73.7,66.8,68.2,84.9,Borderline,96.3,Pass,True,None
3rd Year,63.9,78.2,85.8,67.7,66.8,67.0,75.5,86.9,Borderline,71.5,Fail,True,None
3rd Year,71.8,89.9,67.0,65.3,81.6,84.6,71.8,73.3,Achievable target,87.5,Pass,True,None
2nd Year,66.1,89.9,84.2,76.6,82.0,74.4,72.7,61.3,Achievable target,82.1,Pass,True,None
1st Year,73.3,64.0,93.8,64.0,96.4,72.5,89.3,50.4,Achievable target,57.6,Pass,True,None
1st Year,65.9,66.0,87.4,72.0,77.4,80.4,77.3,57.6,Achievable target,92.8,Pass,True,None
3rd Year,63.0,84.2,67.3,74.8,77.7,77.8,66.1,84.3,Borderline,85.9,Pass,False,Ambiguity
4th Year,74.6,60.4,79.6,77.1,73.2,61.4,68.2,91.5,Cannot pass,70.6,Fail,True,None
2nd Year,79.3,76.6,89.6,74.0,77.2,74.4,74.3,75.7,Borderline,65.8,Fail,False,Ambiguity
2nd Year,76.6,93.1,75.9,89.2,72.5,78.6,87.8,57.5,Achievable target,68.3,Pass,True,None
1st Year,64.3,93.4,61.9,64.6,77.8,81.9,71.0,53.0,Achievable target,64.9,Pass,True,None
4th Year,65.5,79.9,87.4,87.1,81.3,83.5,88.6,53.0,Achievable target,50.0,Fail,False,Overperformance
3rd Year,61.9,75.1,68.1,70.0,96.4,78.9,82.0,54.8,Achievable target,55.5,Pass,True,None
3rd Year,69.2,87.0,94.4,83.5,60.8,82.1,70.5,68.4,Achievable target,94.4,Pass,True,None
4th Year,79.1,68.4,75.1,72.3,66.0,60.3,66.7,92.5,Cannot pass,71.7,Fail,True,None
3rd Year,82.7,63.2,89.3,92.6,99.1,74.8,74.8,62.8,Achievable target,67.5,Pass,True,None
3rd Year,71.2,67.5,67.7,69.5,66.2,66.0,61.4,95.3,Cannot pass,97.8,Pass,False,Underperformance
4th Year,84.4,69.6,66.3,82.0,82.1,72.4,89.5,52.2,Achievable target,99.6,Pass,True,None
2nd Year,99.5,72.0,98.5,87.6,78.3,71.5,88.9,57.3,Achievable target,100.0,Pass,True,None
2nd Year,75.5,83.9,83.0,76.9,79.5,77.5,72.8,62.9,Achievable target,97.0,Pass,True,None
1st Year,92.0,95.0,98.9,76.8,95.4,89.6,89.6,66.8,Achievable target,95.8,Pass,True,None
4th Year,81.0,90.8,92.9,63.0,98.9,90.0,84.4,65.4,Achievable target,81.0,Pass,True,None
4th Year,79.9,70.9,61.0,77.7,70.6,78.7,77.4,51.8,Achievable target,95.3,Pass,True,None
4th Year,86.9,70.0,67.9,83.2,98.1,82.9,71.5,58.6,Achievable target,86.4,Pass,True,None
4th Year,67.7,73.8,69.3,68.8,96.4,70.4,75.8,58.1,Achievable target,83.3,Pass,True,None
4th Year,84.9,79.9,77.7,62.1,70.7,71.1,80.4,53.1,Achievable target,66.6,Pass,True,None
3rd Year,77.1,84.6,91.4,92.5,92.2,87.2,82.2,63.7,Achievable target,83.0,Pass,True,None
2nd Year,63.6,63.4,77.3,89.8,74.9,83.7,79.5,53.1,Achievable target,55.9,Pass,True,None
4th Year,72.4,98.0,73.7,90.6,67.7,80.2,70.4,74.0,Achievable target,78.0,Pass,True,None
1st Year,67.4,83.8,87.0,69.4,64.8,89.2,71.6,71.4,Achievable target,78.4,Pass,True,None
4th Year,86.3,81.3,98.5,71.0,68.2,80.1,70.4,69.9,Achievable target,95.2,Pass,True,None
2nd Year,89.6,88.5,93.5,64.6,83.8,73.5,83.4,57.8,Achievable target,61.9,Pass,True,None
4th Year,88.3,89.4,70.2,63.8,62.4,83.7,84.3,58.0,Achievable target,67.9,Pass,True,None
1st Year,85.3,94.9,77.7,87.8,96.1,78.7,72.0,51.1,Achievable target,90.0,Pass,True,None
4th Year,61.2,67.0,77.0,77.3,76.4,71.5,71.1,93.0,Cannot pass,56.2,Fail,True,None
3rd Year,96.7,80.5,80.4,76.5,78.6,81.4,81.0,67.3,Achievable target,93.9,Pass,True,None
3rd Year,62.1,68.9,80.6,61.8,76.0,72.4,83.5,71.0,Achievable target,96.1,Pass,True,None
4th Year,81.8,79.4,96.5,80.1,75.5,85.6,77.2,54.3,Achievable target,68.9,Pass,True,None
3rd Year,70.4,83.0,84.9,97.1,84.6,78.5,87.0,61.9,Achievable target,89.7,Pass,True,None
2nd Year,99.1,78.5,88.8,77.0,75.2,86.7,85.1,55.5,Achievable target,76.0,Pass,True,None
2nd Year,63.4,85.4,68.1,98.7,74.9,76.1,78.1,73.6,Achievable target,94.2,Pass,True,None
1st Year,98.1,69.5,69.8,97.0,64.6,76.2,78.7,64.7,Achievable target,66.6,Pass,True,None
4th Year,78.1,63.9,86.4,60.1,74.2,84.3,77.3,65.2,Achievable target,93.0,Pass,True,None
4th Year,75.3,81.1,98.7,92.7,92.1,79.2,75.6,53.3,Achievable target,65.0,Pass,True,None
1st Year,80.2,78.8,79.8,66.6,90.1,70.2,88.7,57.7,Achievable target,71.7,Pass,True,None
1st Year,70.0,74.6,61.7,68.9,65.5,60.8,69.9,92.1,Cannot pass,96.1,Pass,False,Underperformance
2nd Year,90.0,95.1,77.4,85.6,81.4,81.8,79.1,71.8,Achievable target,85.4,Pass,True,None
4th Year,72.7,82.8,96.5,72.2,97.7,73.9,83.6,60.4,Achievable target,99.3,Pass,True,None
1st Year,61.0,70.4,70.5,70.2,78.6,62.8,65.9,92.9,Cannot pass,66.4,Fail,True,None
3rd Year,74.0,64.7,77.5,78.7,76.9,74.8,70.9,80.8,Borderline,73.5,Fail,True,None
3rd Year,66.7,72.5,91.4,88.5,85.6,86.2,89.2,56.6,Achievable target,72.2,Pass,True,None
1st Year,86.3,94.0,89.1,64.2,81.2,89.0,70.0,55.7,Achievable target,77.5,Pass,True,None
4th Year,68.1,76.8,70.5,76.8,75.2,67.1,61.0,90.7,Cannot pass,95.3,Pass,False,Underperformance
4th Year,60.4,80.5,66.2,65.1,75.2,79.5,72.6,67.7,Achievable target,50.9,Fail,False,Overperformance
3rd Year,85.4,99.2,88.3,70.9,86.5,87.7,88.9,57.7,Achievable target,66.6,Pass,True,None
3rd Year,71.7,73.1,63.0,75.3,73.0,71.3,64.5,99.6,Cannot pass,97.5,Fail,True,None
4th Year,72.5,68.1,65.1,70.8,73.2,67.0,63.7,90.9,Cannot pass,92.3,Pass,False,Underperformance
2nd Year,62.9,61.9,66.1,74.7,69.1,66.3,62.0,97.4,Cannot pass,96.8,Fail,True,None
1st Year,92.0,87.1,84.8,64.8,90.3,80.0,88.0,54.1,Achievable target,99.3,Pass,True,None
2nd Year,67.3,78.5,95.0,63.0,92.3,80.7,72.8,70.5,Achievable target,73.4,Pass,True,None
3rd Year,99.0,81.3,64.9,61.0,97.2,73.0,79.0,68.4,Achievable target,98.4,Pass,True,None
3rd Year,60.5,88.8,87.3,81.5,70.7,89.4,87.2,65.4,Achievable target,69.3,Pass,True,None
1st Year,89.7,75.6,96.1,68.3,94.8,72.6,78.4,57.4,Achievable target,92.2,Pass,True,None
2nd Year,92.4,95.3,61.0,89.5,73.3,87.3,89.5,72.3,Achievable target,94.5,Pass,True,None
4th Year,61.4,92.5,85.2,87.1,87.9,84.7,74.8,65.5,Achievable target,74.5,Pass,True,None
1st Year,71.3,91.4,79.9,84.4,91.1,80.2,82.4,70.0,Achievable target,99.2,Pass,True,None
4th Year,88.2,92.5,75.4,86.5,92.8,70.9,84.9,73.5,Achievable target,86.6,Pass,True,None
3rd Year,72.2,99.5,84.6,99.6,77.7,81.9,70.5,53.5,Achievable target,55.6,Pass,True,None
4th Year,62.5,71.4,60.8,77.2,68.0,67.8,61.7,98.6,Cannot pass,94.5,Fail,True,None
4th Year,89.9,60.7,73.5,79.5,86.9,72.7,65.8,81.7,Borderline,94.6,Pass,False,Ambiguity
4th Year,89.0,78.9,76.8,70.4,66.2,65.4,76.1,88.8,Borderline,92.9,Pass,True,None
4th Year,68.0,89.4,63.8,86.6,68.3,74.9,89.9,59.3,Achievable target,98.4,Pass,True,None
3rd Year,68.6,90.6,97.0,70.2,98.5,82.2,81.3,60.7,Achievable target,76.3,Pass,True,None
2nd Year,89.3,64.7,96.0,73.4,77.2,85.0,87.5,62.6,Achievable target,72.4,Pass,True,None
3rd Year,86.2,82.9,78.9,66.9,76.1,87.6,75.3,64.8,Achievable target,88.8,Pass,True,None
2nd Year,72.6,74.7,70.8,62.4,77.6,66.8,72.0,98.0,Cannot pass,79.1,Fail,True,None
4th Year,68.7,88.0,90.7,66.7,84.3,83.4,81.3,68.0,Achievable target,71.7,Pass,True,None
2nd Year,80.0,61.8,65.5,73.3,78.9,74.0,80.2,61.0,Achievable target,84.6,Pass,True,None
1st Year,70.4,76.7,75.5,61.4,88.3,83.1,89.9,63.7,Achievable target,70.6,Pass,True,None
4th Year,84.4,88.3,99.2,60.1,61.0,79.9,73.6,65.0,Achievable target,69.1,Pass,True,None
4th Year,70.9,79.0,62.9,64.3,71.4,61.4,65.5,99.9,Cannot pass,88.6,Fail,True,None
3rd Year,95.6,63.5,78.9,89.7,98.4,79.3,71.6,51.9,Achievable target,82.4,Pass,True,None
3rd Year,71.2,95.3,61.4,84.8,69.8,74.3,73.7,57.1,Achievable target,74.8,Pass,True,None
2nd Year,77.9,78.0,71.8,72.3,79.9,68.5,61.4,90.5,Cannot pass,79.8,Fail,True,None
4th Year,86.5,81.6,86.1,73.9,67.1,77.5,83.7,62.9,Achievable target,82.5,Pass,True,None
1st Year,65.3,62.8,75.3,89.2,64.1,89.8,78.4,57.5,Achievable target,94.9,Pass,True,None
2nd Year,63.8,98.9,90.9,81.3,85.1,76.4,71.6,55.1,Achievable target,83.4,Pass,True,None
4th Year,79.5,63.5,78.1,70.3,68.7,61.5,67.6,91.1,Cannot pass,82.8,Fail,True,None
2nd Year,88.6,88.1,90.0,69.8,89.6,88.2,84.9,72.8,Achievable target,68.7,Fail,False,Overperformance
1st Year,64.7,65.2,60.7,73.9,87.6,78.3,88.3,53.3,Achievable target,73.9,Pass,True,None
3rd Year,96.0,76.3,74.5,86.3,63.6,82.0,87.3,72.6,Achievable target,92.4,Pass,True,None
2nd Year,62.4,62.7,61.3,73.2,80.6,70.1,84.2,56.7,Achievable target,77.7,Pass,True,None
3rd Year,74.1,98.8,71.2,61.2,99.3,86.0,87.8,65.0,Achievable target,94.5,Pass,True,None
4th Year,65.9,78.2,64.9,79.6,69.2,89.8,80.2,72.6,Achievable target,73.4,Pass,True,None
2nd Year,74.6,76.5,79.9,80.0,70.3,68.3,75.5,82.3,Borderline,83.4,Pass,True,None
2nd Year,68.0,73.2,73.1,61.5,78.8,72.0,61.6,92.1,Cannot pass,79.6,Fail,True,None
3rd Year,70.0,62.7,70.3,64.3,60.1,78.9,75.3,59.3,Achievable target,89.1,Pass,True,None
3rd Year,70.3,92.3,90.5,67.3,87.2,72.0,72.6,58.1,Achievable target,61.8,Pass,True,None
2nd Year,82.3,84.5,69.1,63.6,78.5,70.4,70.5,56.3,Achievable target,93.5,Pass,True,None
2nd Year,76.5,71.0,82.3,83.7,89.4,89.7,80.4,54.2,Achievable target,85.3,Pass,True,None
2nd Year,96.9,74.0,67.3,65.7,86.3,75.5,85.2,51.7,Achievable target,87.5,Pass,True,None
1st Year,77.9,99.9,71.4,96.7,79.6,75.2,75.2,52.9,Achievable target,93.1,Pass,True,None
1st Year,60.3,86.2,87.5,72.6,74.5,81.6,72.4,53.7,Achievable target,83.9,Pass,True,None
3rd Year,83.3,99.5,63.9,80.9,60.3,85.0,70.1,64.5,Achievable target,64.2,Fail,False,Overperformance
2nd Year,71.0,76.3,94.5,62.2,81.3,72.1,74.3,66.8,Achievable target,70.6,Pass,True,None
3rd Year,74.9,99.6,72.1,79.4,91.6,70.8,73.1,53.4,Achievable target,80.9,Pass,True,None
2nd Year,76.5,88.7,64.0,90.8,60.2,82.8,71.0,63.2,Achievable target,97.4,Pass,True,None
2nd Year,85.9,96.3,93.1,62.9,66.6,78.5,80.9,57.4,Achievable target,89.3,Pass,True,None
4th Year,66.3,68.8,89.9,91.9,94.0,86.4,70.6,57.1,Achievable target,84.3,Pass,True,None
3rd Year,63.4,77.8,74.1,83.4,78.6,81.0,72.7,64.9,Achievable target,79.9,Pass,True,None
4th Year,94.5,95.2,89.1,95.7,79.3,85.6,82.2,61.7,Achievable target,95.7,Pass,True,None
4th Year,89.8,60.7,76.1,61.4,82.0,76.3,89.6,69.8,Achievable target,93.7,Pass,True,None
2nd Year,64.4,82.1,85.5,82.4,84.0,69.3,69.9,83.8,Borderline,76.8,Fail,True,None
3rd Year,94.9,84.2,64.2,62.0,97.9,87.9,87.1,69.2,Achievable target,98.8,Pass,True,None
1st Year,73.0,60.2,87.4,73.7,89.0,76.2,80.1,64.8,Achievable target,65.8,Pass,True,None
1st Year,75.4,67.1,69.9,69.6,79.5,63.9,61.5,96.1,Cannot pass,79.3,Fail,True,None
2nd Year,97.3,96.1,82.0,99.9,93.8,80.7,82.0,59.9,Achievable target,85.3,Pass,True,None
1st Year,82.9,74.3,62.9,86.4,61.5,67.7,68.2,86.1,Borderline,52.6,Fail,True,None
1st Year,66.3,72.8,76.5,63.3,76.1,69.8,65.6,96.5,Cannot pass,59.0,Fail,True,None
2nd Year,79.7,98.8,84.0,74.5,79.2,70.6,85.3,60.5,Achievable target,70.7,Pass,True,None
1st Year,65.2,75.7,62.2,78.9,61.5,71.2,70.4,93.4,Cannot pass,76.5,Fail,True,None
2nd Year,68.1,66.0,74.2,77.4,70.5,61.0,60.8,96.7,Cannot pass,62.1,Fail,True,None
2nd Year,74.4,85.4,98.2,61.9,71.7,77.1,71.1,65.3,Achievable target,68.0,Pass,True,None
2nd Year,68.1,74.8,62.0,76.1,63.0,68.4,61.2,95.9,Cannot pass,67.5,Fail,True,None
4th Year,61.3,97.9,64.4,60.8,72.5,73.0,83.6,53.6,Achievable target,85.6,Pass,True,None
1st Year,95.4,90.9,71.4,66.7,71.8,73.8,78.8,72.1,Achievable target,91.3,Pass,True,None
2nd Year,66.2,68.2,71.5,63.3,64.1,64.1,69.8,96.3,Cannot pass,93.8,Fail,True,None
4th Year,69.1,76.3,98.8,97.0,98.0,79.5,73.3,55.3,Achievable target,85.3,Pass,True,None
3rd Year,68.1,70.4,60.1,69.0,76.7,61.4,71.6,91.3,Cannot pass,68.5,Fail,True,None
4th Year,61.1,97.2,93.6,86.0,91.7,89.9,77.5,53.3,Achievable target,66.7,Pass,True,None
4th Year,89.4,86.4,71.4,86.6,84.8,85.9,89.2,52.2,Achievable target,97.7,Pass,True,None
3rd Year,85.7,91.4,97.1,63.9,62.9,86.9,80.3,50.9,Achievable target,60.7,Pass,True,None
4th Year,62.3,84.7,81.2,89.4,93.4,86.4,85.9,51.9,Achievable target,62.3,Pass,True,None
1st Year,80.5,90.0,66.4,61.2,93.9,83.4,78.1,66.3,Achievable target,81.1,Pass,True,None
4th Year,85.2,88.5,99.2,93.9,89.5,71.0,70.2,64.3,Achievable target,84.1,Pass,True,None
1st Year,87.1,83.7,81.1,72.3,68.8,76.9,72.2,73.6,Achievable target,75.0,Pass,True,None
2nd Year,98.3,68.1,87.5,65.3,86.0,78.8,70.0,53.8,Achievable target,96.9,Pass,True,None
1st Year,71.3,67.3,89.6,60.1,81.9,88.7,76.1,51.6,Achievable target,53.8,Pass,True,None
4th Year,65.5,68.0,95.4,81.0,85.2,71.2,75.6,69.3,Achievable target,93.7,Pass,True,None
3rd Year,61.7,65.0,70.9,66.8,67.9,69.6,71.4,96.2,Cannot pass,66.7,Fail,True,None
2nd Year,88.9,68.4,69.3,83.5,82.1,87.3,74.6,61.2,Achievable target,92.8,Pass,True,None
1st Year,91.4,79.4,64.6,95.8,88.9,88.5,73.5,64.2,Achievable target,75.9,Pass,True,None
2nd Year,97.3,94.2,95.2,89.2,71.0,84.9,72.5,70.3,Achievable target,71.0,Pass,True,None
4th Year,95.6,81.8,85.7,72.1,69.8,82.4,70.6,69.4,Achievable target,81.8,Pass,True,None
1st Year,72.5,64.2,68.4,77.8,72.7,65.0,65.8,94.6,Cannot pass,57.2,Fail,True,None
4th Year,75.6,81.1,71.3,87.9,67.8,89.8,85.2,70.6,Achievable target,58.1,Fail,False,Overperformance
2nd Year,70.1,78.7,97.4,85.6,96.9,87.9,83.9,56.6,Achievable target,75.1,Pass,True,None
3rd Year,87.8,67.0,76.2,62.3,80.8,70.6,69.7,79.5,Borderline,74.3,Fail,False,Ambiguity
3rd Year,75.9,87.6,62.4,92.6,79.1,81.2,81.4,65.1,Achievable target,80.8,Pass,True,None
3rd Year,65.3,72.9,67.6,62.7,67.8,67.4,69.0,77.8,Borderline,85.6,Pass,False,Ambiguity
3rd Year,88.5,97.1,85.5,91.7,80.4,87.8,87.0,52.9,Achievable target,62.4,Pass,True,None
4th Year,77.6,79.4,68.2,84.3,72.5,71.5,71.2,67.2,Achievable target,91.3,Pass,True,None
1st Year,81.2,71.9,90.1,87.9,84.5,77.7,83.8,63.8,Achievable target,71.3,Pass,True,None
1st Year,99.5,81.6,91.9,64.4,94.7,75.5,89.7,53.2,Achievable target,70.0,Pass,True,None
2nd Year,76.9,99.5,77.4,99.9,85.1,86.2,72.5,70.0,Achievable target,77.7,Pass,True,None
3rd Year,67.0,72.3,87.5,65.1,89.2,74.5,81.8,72.8,Achievable target,98.6,Pass,True,None
3rd Year,66.0,61.7,71.3,72.6,70.9,61.6,66.7,93.8,Cannot pass,88.3,Fail,True,None
1st Year,87.1,63.8,79.7,71.0,78.4,69.0,71.1,85.0,Borderline,92.2,Pass,True,None
1st Year,99.3,93.8,64.1,96.4,79.3,72.7,84.5,63.7,Achievable target,79.6,Pass,True,None
4th Year,93.0,88.8,75.8,97.6,82.9,85.5,82.2,62.9,Achievable target,86.7,Pass,True,None
1st Year,87.0,88.1,77.1,64.2,91.7,85.3,81.5,63.2,Achievable target,81.8,Pass,True,None
2nd Year,93.4,78.9,86.2,95.7,76.7,75.3,89.1,61.8,Achievable target,88.1,Pass,True,None
2nd Year,66.9,76.1,72.6,75.6,78.4,74.3,77.1,51.6,Achievable target,91.1,Pass,True,None
2nd Year,67.3,90.4,70.4,96.1,76.4,73.7,71.2,65.0,Achievable target,59.3,Fail,False,Overperformance
1st Year,69.6,85.7,96.7,69.8,61.6,72.3,76.9,71.3,Achievable target,82.2,Pass,True,None
4th Year,94.4,99.6,72.2,84.8,84.4,79.0,78.9,67.8,Achievable target,98.3,Pass,True,None
